month,year,revenue,expenses,profit
Jan,2024,354370,214529,47228
Feb,2024,173405,135679,33386
Mar,2024,364732,175829,187826
Apr,2024,290048,178216,38302
May,2024,242781,183175,70815
Jun,2024,117019,115901,73344
Jul,2024,341497,293386,176690
Aug,2024,145133,225607,121603
Sep,2024,456588,197175,71114
Oct,2024,277530,148046,35525
Nov,2024,459747,140012,89818
Dec,2024,238598,128278,124589
Jan,2025,208585,62391,155406
Feb,2025,325172,152476,104715
Mar,2025,385539,209973,16644
Apr,2025,497247,170721,111154
May,2025,205814,147537,174005
Jun,2025,454743,131159,53469
Jul,2025,105939,248986,174759
Aug,2025,493540,181040,116609
Sep,2025,233939,231429,193728
Oct,2025,342347,267980,158447
Nov,2025,489760,291407,75206
Dec,2025,489115,219509,106462
Jan,2026,371207,85503,177679
Feb,2026,170880,277354,93178
Mar,2026,83748,274531,165065
Apr,2026,316094,125403,185458
May,2026,459413,222330,187359
Jun,2026,422908,214796,96724
Jul,2026,231956,114286,106393
Aug,2026,236255,124842,137314
Sep,2026,450180,154927,86312
Oct,2026,230331,64908,85324
Nov,2026,247031,273689,81196
Dec,2026,458669,231698,80014
