date,product,region,sales,units
2025-04-13,Headphones,North,3644,47
2025-02-21,Watch,North,4891,7
2025-04-03,Phone,South,1459,11
2025-01-15,Laptop,West,4852,20
2025-04-17,Watch,South,4616,16
2025-03-13,Headphones,West,3240,4
2025-03-02,Watch,South,4541,6
2025-01-21,Laptop,East,1605,22
2025-04-13,Watch,West,854,26
2025-03-24,Tablet,East,1329,3
2025-03-28,Watch,North,3627,41
2025-03-16,Phone,South,2951,42
2025-03-16,Phone,North,1437,14
2025-03-29,Tablet,North,4738,11
2025-04-27,Laptop,North,2811,18
2025-04-10,Phone,North,2729,12
2025-04-14,Headphones,South,2156,23
2025-01-24,Phone,North,4273,12
2025-01-03,Phone,South,4881,13
2025-01-22,Laptop,South,2818,25
2025-02-22,Watch,East,4003,45
2025-01-02,Phone,West,3236,19
2025-03-29,Tablet,West,3330,46
2025-04-18,Watch,South,2623,36
2025-01-30,Headphones,East,4666,45
2025-02-07,Laptop,South,2649,8
2025-01-02,Headphones,South,4083,29
2025-03-05,Watch,South,286,32
2025-03-01,Watch,East,1354,44
2025-01-21,Watch,West,3480,18
2025-02-02,Headphones,East,1351,6
2025-03-17,Watch,North,2591,18
2025-02-27,Headphones,East,2101,19
2025-01-22,Watch,East,491,22
2025-04-18,Tablet,East,2126,37
2025-03-30,Watch,East,3230,32
2025-02-18,Headphones,West,2707,41
2025-04-01,Phone,North,3848,3
2025-02-28,Watch,West,854,28
2025-02-11,Phone,West,124,10
2025-04-02,Tablet,East,2225,35
2025-03-01,Laptop,South,3974,29
2025-03-21,Tablet,South,2139,15
2025-01-15,Watch,West,90,33
2025-03-03,Phone,West,2131,7
2025-03-03,Phone,East,4733,12
2025-02-16,Headphones,West,1672,49
2025-03-03,Phone,East,391,30
2025-02-20,Headphones,South,4102,21
2025-04-18,Laptop,South,2124,31
2025-02-24,Watch,North,695,24
2025-04-26,Headphones,South,4876,20
2025-03-05,Laptop,West,4313,37
2025-01-03,Phone,South,659,4
2025-04-11,Phone,East,504,28
2025-02-20,Laptop,South,3003,44
2025-01-07,Phone,North,1758,20
2025-01-21,Laptop,South,3522,24
2025-03-14,Headphones,East,3019,49
2025-02-08,Headphones,East,3078,32
2025-01-18,Laptop,West,4847,41
2025-01-04,Headphones,South,2731,36
2025-03-30,Headphones,East,3679,34
2025-03-01,Headphones,North,4275,36
2025-01-14,Tablet,West,3117,2
2025-04-24,Watch,North,1436,15
2025-01-09,Phone,South,3826,34
2025-03-31,Tablet,South,2916,36
2025-02-22,Headphones,South,4838,6
2025-01-02,Laptop,West,3413,39
2025-03-25,Headphones,East,4939,42
2025-04-02,Watch,West,4174,12
2025-04-21,Headphones,North,198,3
2025-03-01,Laptop,West,3900,45
2025-03-12,Watch,North,2108,18
2025-02-13,Headphones,West,1186,40
2025-01-08,Watch,East,236,21
2025-02-16,Phone,North,2904,15
2025-02-04,Phone,South,1300,33
2025-03-19,Headphones,South,1383,35
2025-03-22,Watch,West,4243,26
2025-02-05,Laptop,South,4200,8
2025-02-19,Headphones,North,2761,36
2025-04-14,Phone,South,4903,48
2025-01-04,Phone,East,4551,30
2025-01-02,Headphones,East,1835,23
2025-01-06,Watch,West,800,42
2025-02-23,Phone,North,1812,44
2025-04-16,Watch,East,3970,14
2025-01-04,Phone,East,4510,14
2025-02-23,Phone,North,531,2
2025-04-03,Tablet,South,203,37
2025-03-04,Phone,South,1574,5
2025-01-18,Laptop,West,2170,38
2025-03-31,Headphones,South,2393,45
2025-02-13,Headphones,North,1290,41
2025-02-03,Watch,East,110,47
2025-03-15,Phone,South,988,14
2025-03-03,Laptop,West,1689,39
2025-04-10,Watch,South,4170,25
2025-01-14,Tablet,North,4276,20
2025-04-05,Watch,West,3619,2
2025-02-17,Watch,South,1302,39
2025-01-15,Phone,West,4253,6
2025-03-13,Tablet,North,221,17
2025-03-19,Watch,East,1508,25
2025-03-28,Laptop,North,3599,28
2025-03-03,Laptop,North,4247,2
2025-02-09,Headphones,North,2372,35
2025-03-26,Tablet,North,1686,37
2025-03-21,Tablet,East,3165,5
2025-04-19,Headphones,East,4140,1
2025-03-23,Watch,West,3054,40
2025-04-21,Tablet,South,379,12
2025-02-22,Laptop,East,3690,36
2025-01-24,Laptop,East,3944,45
2025-01-26,Phone,South,4157,23
2025-03-30,Tablet,East,1391,47
2025-03-01,Watch,North,3713,31
2025-04-19,Headphones,North,265,11
2025-02-10,Headphones,South,388,10
2025-01-29,Watch,West,4112,3
2025-01-15,Phone,West,2758,14
2025-02-14,Headphones,South,3202,16
2025-03-06,Tablet,South,1800,10
2025-03-30,Phone,North,2471,29
2025-03-12,Tablet,West,759,10
2025-01-09,Laptop,East,3776,12
2025-03-29,Phone,North,3692,30
2025-01-01,Headphones,South,4043,41
2025-04-18,Phone,West,538,1
2025-01-08,Phone,East,96,5
2025-03-29,Phone,East,3409,20
2025-03-04,Phone,North,4923,8
2025-01-11,Tablet,West,4856,43
2025-04-25,Laptop,West,450,12
2025-03-22,Watch,South,4040,1
2025-01-08,Phone,West,3207,20
2025-02-04,Headphones,West,4395,28
2025-02-04,Phone,North,440,43
2025-02-02,Headphones,West,3903,37
2025-01-05,Tablet,East,4480,47
2025-04-16,Headphones,North,678,37
2025-04-13,Watch,North,4282,12
2025-02-10,Laptop,South,2980,37
2025-01-28,Headphones,West,1571,49
2025-01-07,Headphones,South,876,49
2025-03-14,Laptop,East,4872,44
2025-03-13,Watch,North,1550,28
2025-01-12,Phone,North,3344,47
2025-02-03,Headphones,North,2469,15
2025-02-02,Laptop,East,984,6
2025-02-17,Tablet,East,3092,44
2025-04-29,Laptop,South,4547,20
2025-01-23,Tablet,South,1516,14
2025-03-03,Watch,South,3611,2
2025-03-29,Phone,West,664,9
2025-02-06,Laptop,North,1232,37
2025-04-09,Headphones,North,3273,20
2025-02-13,Watch,South,2717,26
2025-04-14,Laptop,North,180,29
2025-03-27,Headphones,South,3033,1
2025-04-01,Laptop,West,4328,35
2025-02-04,Tablet,West,4509,6
2025-03-06,Laptop,East,88,37
2025-04-09,Laptop,West,4009,5
2025-04-11,Laptop,South,3637,33
2025-02-16,Watch,West,970,49
2025-03-19,Laptop,East,2819,14
2025-01-03,Headphones,North,4161,12
2025-01-01,Tablet,South,542,42
2025-01-05,Tablet,North,1181,20
2025-03-31,Laptop,East,3571,24
2025-04-29,Watch,East,360,43
2025-01-14,Watch,East,788,34
2025-04-13,Headphones,North,3291,25
2025-01-27,Laptop,North,595,29
2025-01-09,Tablet,North,2511,39
2025-03-20,Watch,North,4396,31
2025-01-15,Laptop,East,4904,47
2025-03-31,Watch,East,1854,43
2025-02-11,Watch,South,3262,23
2025-03-18,Tablet,South,3860,44
2025-02-20,Phone,North,863,38
2025-03-04,Headphones,West,4174,20
2025-04-06,Headphones,West,2082,23
2025-04-13,Tablet,East,4622,45
2025-04-23,Watch,East,4463,16
2025-02-21,Laptop,East,294,42
2025-04-06,Watch,South,4893,8
2025-01-04,Tablet,South,4842,21
2025-04-04,Headphones,East,321,1
2025-04-11,Watch,East,3561,8
2025-01-23,Headphones,East,1821,29
2025-04-13,Laptop,West,1312,32
2025-04-19,Headphones,South,2474,38
2025-01-15,Headphones,West,4411,5
2025-02-12,Phone,West,970,47
2025-01-29,Phone,East,3480,22
2025-02-05,Phone,East,4485,47
2025-01-13,Headphones,North,4534,34
2025-02-01,Tablet,North,2674,1
2025-03-12,Headphones,West,3810,26
2025-02-28,Tablet,South,2100,43
2025-04-25,Tablet,East,3550,10
2025-03-27,Phone,East,1215,30
2025-01-28,Watch,West,425,18
2025-03-07,Laptop,North,2083,17
2025-02-11,Phone,South,195,26
2025-02-14,Phone,North,4438,8
2025-03-03,Watch,North,481,47
2025-02-26,Laptop,North,754,40
2025-04-27,Headphones,North,2682,49
2025-01-06,Headphones,East,4544,12
2025-01-28,Phone,East,1013,27
2025-01-28,Laptop,North,2284,8
2025-04-18,Phone,South,2091,25
2025-02-13,Tablet,West,1878,46
2025-03-25,Phone,South,2158,4
2025-01-30,Phone,South,4118,33
